Article Date,Advisor Name,Stock Name,Company Code,Buy/Sell/Hold,Price on Article Day,Target Price,Today's Price,Time to reach target,Article URL
"April 10, 2024",Motilal Oswal,Kolte-Patil,KOLTEPATIL,buy,489.6,700,411.4,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-kolte-patil-developers-targetrs-700-motilal-oswal_17521841.html
"April 19, 2024",Motilal Oswal,20th CenFinance,,buy,,125,,,https://m.moneycontrol.com/news/recommendations/buy-equitas-small-finance-bank-targetrs-125-motilal-oswal_17529061.html
"April 19, 2024",Motilal Oswal,HDFC Life,HDFCLIFE,buy,621.95,670,634.35,Not reached yet.,https://m.moneycontrol.com/news/recommendations/neutral-hdfc-life-insurance-targetrs-670-motilal-oswal_17529221.html
,Motilal Oswal,Adani Ports,ADANIPORTS,buy,,1590,,,https://m.moneycontrol.com/news/recommendations/buy-adani-portsez-targetrs-1590-motilal-oswal_.html
"April 22, 2024",LKP Research,Bajaj Auto,BAJAJ-AUTO,buy,8384.9,10138,9438.4,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-bajaj-auto-targetrs-10138-lkp-research_17529841.html
"April 23, 2024",Emkay Global Financial,Aditya Birla F,ABFRL,buy,201.0,230,321.3,11,https://m.moneycontrol.com/news/recommendations/reduce-aditya-birla-fashionretail-targetrs-230-emkay-global-financial_17531571.html
"April 16, 2024",Emkay Global Financial,Senco Gold,SENCO,buy,832.65,1100,974.0,75,https://m.moneycontrol.com/news/recommendations/buy-senco-gold-targetrs-1100-emkay-global-financial_17525371.html
"April 19, 2024",Sharekhan,Bajaj Auto,BAJAJ-AUTO,buy,8879.05,10363,9438.4,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-bajaj-auto-targetrs-10363-sharekhan_17528361.html
"April 18, 2024",Sharekhan,ICICI Lombard ,ICICIGI,buy,1655.8,1950,1870.7,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-icici-lombard-targetrs-1950-sharekhan_17528011.html
"April 19, 2024",ICICI Securities,Cello World,CELLO,buy,804.5,1060,975.8,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-cello-world-targetrs-1060-icici-securities_17529201.html
,Asit C Mehta,Birla Corp,BIRLACORPN,buy,,2055,,,https://m.moneycontrol.com/news/recommendations/buy-birla-corporation-targetrs-2055-asit-c-mehta_.html
,Emkay,Bajaj Auto,BAJAJ-AUTO,buy,,7900,,,https://m.moneycontrol.com/news/recommendations/reduce-bajaj-auto-targetrs-7900-emkay_.html
"April 24, 2024",KR Choksey,Infosys,INFY,buy,1634.0,1531,1708.8,0,https://m.moneycontrol.com/news/recommendations/accumulate-infosys-targetrs-1531-kr-choksey_17531411.html
"April 19, 2024",ICICI Securities,Tata Comm,TATACOMM,buy,2011.5,1870,1860.0,0,https://m.moneycontrol.com/news/recommendations/hold-tata-communications-targetrs-1870-icici-securities_17529151.html
"April 19, 2024",ICICI Securities,Bajaj Auto,BAJAJ-AUTO,buy,8879.05,8660,9438.4,0,https://m.moneycontrol.com/news/recommendations/hold-bajaj-auto-targetrs-8660-icici-securities_17529171.html
"April 09, 2024",KR Choksey,Maruti Suzuki,MARUTI,buy,11535.6,14975,12560.1,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-maruti-suzuki-india-targetrs-14975-kr-choksey_17520311.html
"April 10, 2024",Emkay Global Financial,Gulf Oil Lubric,GULFOILLUB,buy,1070.8,1350,1213.15,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-gulf-oil-lubricants-targetrs-1350-emkay-global-financial_17521621.html
"April 16, 2024",Anand Rathi,Kaynes Tech,KAYNES,buy,3104.25,3100,4161.9,0,https://m.moneycontrol.com/news/recommendations/buy-kaynes-technology-india-targetrs-3100-anand-rathi_17525071.html
"April 23, 2024",Prabhudas Lilladher,HDFC Bank,HDFCBANK,buy,1455.45,2000,1630.8,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-2000-prabhudas-lilladher_17530131.html
"April 08, 2024",ICICI Securities,Bajaj Finance,BAJFINANCE,buy,6674.95,8500,7010.0,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-bajaj-finance-targetrs-8500-icici-securities_17518941.html
"April 22, 2024",Prabhudas Lilladher,HDFC AMC,HDFCAMC,buy,3636.05,4100,4168.3,68,https://m.moneycontrol.com/news/recommendations/buy-hdfc-asset-management-company-targetrs-4100-prabhudas-lilladher_17530121.html
"April 15, 2024",Sharekhan,TCS,TCS,buy,4107.1,4750,4166.8,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-tata-consultancy-services-targetrs-4750-sharekhan_17523731.html
"April 15, 2024",Prabhudas Lilladher,TCS,TCS,buy,4107.1,4360,4166.8,Not reached yet.,https://m.moneycontrol.com/news/recommendations/accumulate-tata-consultancy-services-targetrs-4360-prabhudas-lilladher_17523871.html
"April 08, 2024",Sharekhan,UltraTechCement,ULTRACEMCO,buy,9961.2,11900,11523.1,86,https://m.moneycontrol.com/news/recommendations/buy-ultratech-cement-targetrs-11900-sharekhan_17519061.html
"April 23, 2024",Prabhudas Lilladher,Navneet,NAVNETEDUL,buy,142.65,182,153.84,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-navneet-education-targetrs-182-prabhudas-lilladher_17531441.html
"April 05, 2024",Sharekhan,HDFC Bank,HDFCBANK,buy,1417.1,1900,1630.3,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-1900-sharekhan_17516931.html
"April 22, 2024",Motilal Oswal,Wipro,WIPRO,buy,504.4,490,560.2,0,https://m.moneycontrol.com/news/recommendations/neutral-wipro-targetrs-490-motilal-oswal_17529921.html
"April 19, 2024",Prabhudas Lilladher,Infosys,INFY,buy,1616.45,1375,1708.95,0,https://m.moneycontrol.com/news/recommendations/hold-infosys-targetrs-1375-prabhudas-lilladher_17528411.html
"April 22, 2024",KR Choksey,Bajaj Auto,BAJAJ-AUTO,buy,8384.9,10263,9438.35,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-bajaj-auto-targetrs-10263-kr-choksey_17530201.html
"April 23, 2024",ICICI Direct,Patel Eng,PATELENG,buy,55.95,80,61.09,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-patel-engineering-targetrs-80-icici-direct_17531401.html
"April 22, 2024",Sharekhan,HDFC Bank,HDFCBANK,buy,1460.4,1900,1630.3,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-1900-sharekhan_17529801.html
"April 23, 2024",KR Choksey,HDFC Life,HDFCLIFE,buy,622.25,745,634.25,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-life-insurance-co-targetrs-745-kr-choksey_17530291.html
"April 10, 2024",Motilal Oswal,MCX India,MCX,buy,3663.6,4300,3748.55,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-mcx-targetrs-4300-motilal-oswal_17521781.html
"April 16, 2024",Sharekhan,Lupin,LUPIN,buy,1669.85,1868,1801.7,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-lupin-targetrs-1868-sharekhan_17525431.html
"April 22, 2024",LKP Research,HDFC Bank,HDFCBANK,buy,1460.4,1756,1630.3,74,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-1756-lkp-research_17529831.html
"April 19, 2024",Sharekhan,HDFC Life,HDFCLIFE,buy,621.95,750,634.25,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-life-insurance-company-targetrs-750-sharekhan_17529351.html
"April 08, 2024",ICICI Securities,Marico,MARICO,buy,539.0,600,643.9,53,https://m.moneycontrol.com/news/recommendations/buy-marico-targetrs-600-icici-securities_17519001.html
"April 22, 2024",Prabhudas Lilladher,Wipro,WIPRO,buy,504.4,440,560.2,0,https://m.moneycontrol.com/news/recommendations/hold-wipro-targetrs-440-prabhudas-lilladher_17530111.html
"April 22, 2024",Emkay,Infosys,INFY,buy,1611.4,1750,1708.95,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1750-emkay_17530211.html
"April 16, 2024",Motilal Oswal,Cello World,CELLO,buy,825.25,1100,975.8,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-cello-world-targetrs-1100-motilal-oswal_17525331.html
