Article Date,Advisor Name,Stock Name,Company Code,Call,Price on Article Day,Target Price,Today's Price,Time to reach target,Arbitrage %,Today P/L %,Article URL
2024-06-18 14:15:00,Prabhudas Lilladher,Mahindra and Mahindra,M&M,Buy,2857.45,3250,3134.35,Not reached yet.,54.994396356439424,49.478980375324895,https://www.moneycontrol.com/news/business/stocks/buy-mahindra-and-mahindra-target-of-rs-3250-prabhudas-lilladher-12751087.html
2024-06-18 14:23:00,Prabhudas Lilladher,Praj Industries,PRAJIND,Buy,590.4,815,772.4,Not reached yet.,57.411878319652345,49.18396909705456,https://www.moneycontrol.com/news/business/stocks/buy-praj-industries-target-of-rs-815-prabhudas-lilladher-12751092.html
2024-06-18 14:34:00,Sharekhan,Mahindra & Mahindra Financial Services,M&M,Buy,2857.45,345,3134.35,0,-83.54674869447027,49.478980375324895,https://www.moneycontrol.com/news/business/stocks/buy-mahindra-target-of-rs-345-sharekhan-12751105.html
2024-06-18 14:45:00,Geojit Financial Services,Apollo Hospitals Enterprise,APOLLOHOSP,Buy,6014.55,7059,6983.4,96,10.571576259770362,9.387384282827638,https://www.moneycontrol.com/news/business/stocks/buy-apollo-hospitals-enterprise-target-of-rs-7059-geojit-financial-services-12751129.html
2024-06-18 14:59:00,Motilal Oswal,Vedanta,VEDL,Neutral,460.65,500,497.5,Call type not supported.,31.2163758037003,30.560293924681798,https://www.moneycontrol.com/news/business/stocks/neutral-vedanta-target-of-rs-500-motilal-oswal-12751140.html
2024-06-18 15:15:00,Motilal Oswal,Macrotech Developers,LODHA,Buy,1433.35,1770,1169.85,Not reached yet.,45.8831286573807,-3.581142339075253,https://www.moneycontrol.com/news/business/stocks/buy-macrotech-developers-target-of-rs-1770-motilal-oswal-12751149.html
2024-06-18 15:21:00,Motilal Oswal,ICICI Lombard,ICICIGI,Buy,1655.15,2100,2067.35,83,23.037262713850485,21.124326224513705,https://www.moneycontrol.com/news/business/stocks/buy-icici-lombard-target-of-rs-2100-motilal-oswal-2-12751163.html
2024-06-18 15:26:00,Prabhudas Lilladher,Krishna Institute of Medical Sciences,KIMS,Buy,1901.6,2200,548.8,Not reached yet.,444.4331708282808,35.81132915934569,https://www.moneycontrol.com/news/business/stocks/buy-krishna-institute-of-medical-sciences-target-of-rs-2200-prabhudas-lilladher-12751176.html
2024-06-19 12:26:00,Profitmart,Rudra Global Infra Products,RUDRA,Buy,,75,,,,,https://www.moneycontrol.com/news/business/stocks/buy-rudra-global-infra-products-target-of-rs-75-profitmart-12751777.html
2024-06-19 12:59:00,Emkay Global Financial,One 97 Communications,PAYTM,Reduce,389.05,300,724.5,Not reached yet.,20.40328999734677,-92.22605465640756,https://www.moneycontrol.com/news/business/stocks/reduce-one-97-communications-target-of-rs-300-emkay-global-financial-12751820.html
2024-06-19 15:04:00,Motilal Oswal,Trent,SVT,Buy,,5800,,,,,https://www.moneycontrol.com/news/business/stocks/buy-trent-target-of-rs-5800-motilal-oswal-12751980.html
2024-06-20 10:43:00,Geojit Financial Services,HDFC Life Insurance Company,HDFCLIFE,Buy,571.7,710,723.85,64,23.456790123456788,25.86506694487915,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-life-insurance-company-target-of-rs-710-geojit-financial-services-12752529.html
2024-06-20 10:54:00,Motilal Oswal,SRF,SRF,Neutral,2327.7,2140,2348.75,Call type not supported.,-18.824087245139875,-10.905642484589853,https://www.moneycontrol.com/news/business/stocks/neutral-srf-target-of-rs-2140-motilal-oswal-12752545.html
2024-06-20 12:27:00,Emkay Global Financial,Dr Lal Pathlabs,LALPATHLAB,Buy,2802.05,2800,3505.95,30,19.3037772428045,49.38324208014658,https://www.moneycontrol.com/news/business/stocks/buy-dr-lal-pathlabs-target-of-rs-2800-emkay-global-financial-12752641.html
2024-06-20 12:38:00,Motilal Oswal,DCB Bank,DCBBANK,Buy,131.94,175,117.32,Not reached yet.,24.157502660517924,-16.76481021638879,https://www.moneycontrol.com/news/business/stocks/buy-dcb-bank-target-of-rs-175-motilal-oswal-12752701.html
2024-06-20 14:17:00,Sharekhan,Larsen and Toubro Finance Holdings,LTO,Buy,,205,,,,,https://www.moneycontrol.com/news/business/stocks/buy-larsen-and-toubro-finance-holdings-target-of-rs-205-sharekhan-12752806.html
2024-06-20 14:37:00,KR Choksey,Fineotex Chemicals,FCL,Buy,365.8,573,399.2,Not reached yet.,52.5965379494008,6.311584553928093,https://www.moneycontrol.com/news/business/stocks/buy-fineotex-chemicals-target-of-rs-573-kr-choksey-12752818.html
2024-06-20 14:53:00,KR Choksey,Ashok Leyland,ASHOKLEY,Accumulate,237.96,243,227.86,61,31.103318046938227,22.934987860803897,https://www.moneycontrol.com/news/business/stocks/accumulate-ashok-leyland-target-of-rs-243-kr-choksey-12752846.html
2024-06-21 11:57:00,Prabhudas Lilladher,Bajaj Auto,BAJAJ-AUTO,Hold,9904.25,9984,11876.95,Call type not supported.,12.133787828587158,33.39416980676466,https://www.moneycontrol.com/news/business/stocks/hold-bajaj-auto-target-of-rs-9984-prabhudas-lilladher-12753501.html
2024-06-21 12:31:00,Motilal Oswal,Alkyl Amines,ALKYLAMINE,Neutral,2009.85,2010,2277.15,Call type not supported.,-1.7187003398283787,11.343911204557122,https://www.moneycontrol.com/news/business/stocks/neutral-alkyl-amines-target-of-rs-2010-motilal-oswal-2-12753529.html
2024-06-21 12:42:00,Geojit Financial Services,City Union Bank,CUB,Accumulate,149.25,185,153.9,Not reached yet.,15.121344119477294,-4.231487243310506,https://www.moneycontrol.com/news/business/stocks/accumulate-city-union-bank-target-of-rs-185-geojit-financial-services-12753567.html
2024-06-21 13:31:00,Sharekhan,Sun Pharmaceuticals,300026,Buy,,1800,,,,,https://www.moneycontrol.com/news/business/stocks/buy-sun-pharmaceuticals-target-of-rs-1800-sharekhan-12753602.html
2024-06-21 13:38:00,Sharekhan,Lumax Auto Technologies,LUMAXTECH,Buy,504.1,650,567.6,Not reached yet.,35.954821167119846,18.719933068395733,https://www.moneycontrol.com/news/business/stocks/buy-lumax-auto-technologies-target-of-rs-650-sharekhan-12753612.html
2024-06-21 14:06:00,Sharekhan,Thermax,THERMAX,Hold,5397.1,5200,5155.25,Call type not supported.,11.35857461024498,10.400248415281814,https://www.moneycontrol.com/news/business/stocks/hold-thermax-target-of-rs-5200-sharekhan-12753625.html
2024-06-21 14:19:00,Emkay Global Financial,Gulf Oil Lubricants,GULFOILLUB,Buy,954.1,1350,1313.45,77,31.208086305763427,27.655748858003687,https://www.moneycontrol.com/news/business/stocks/buy-gulf-oil-lubricants-target-of-rs-1350-emkay-global-financial-2-12753638.html
2024-06-21 14:25:00,Emkay Global Financial,PVR INOX,PVRINOX,Buy,1397.75,1650,1620.5,94,21.221026338022988,19.053741321676515,https://www.moneycontrol.com/news/business/stocks/buy-pvr-inox-target-of-rs-1650-emkay-global-financial-12753645.html
2024-06-21 14:33:00,Emkay Global Financial,City Union Bank,CUB,Reduce,149.25,150,153.9,6,6.658369632856247,4.231487243310506,https://www.moneycontrol.com/news/business/stocks/reduce-city-union-bank-target-of-rs-150-emkay-global-financial-12753652.html
2024-06-24 10:41:00,Sharekhan,Bajaj Holdings & Investment,BAJAJHLDNG,Buy,8283.6,10181,10851.1,82,24.3678385575725,32.5535657570057,https://www.moneycontrol.com/news/business/earnings/buy-bajaj-holdings-target-of-rs-10181-sharekhan-12754806.html
2024-06-24 10:46:00,Sharekhan,Tech Mahindra,TECHM,Buy,1371.35,1715,1647.05,Not reached yet.,35.86848880966528,30.485244602891658,https://www.moneycontrol.com/news/business/earnings/buy-tech-mahindra-target-of-rs-1715-sharekhan-12754808.html
2024-06-24 11:33:00,Sharekhan,Welspun Living,WELSPUNLIV,Buy,148.4,181,165.44,57,20.82777036048063,10.440587449933235,https://www.moneycontrol.com/news/business/earnings/buy-welspun-living-target-of-rs-181-sharekhan-2-12754807.html
2024-06-25 11:39:00,Sharekhan,Can Fin Homes,CANFINHOME,Buy,866.25,1050,867.75,Not reached yet.,42.00703272923993,17.358669191236142,https://www.moneycontrol.com/news/business/earnings/buy-can-fin-homes-target-of-rs-1050-sharekhan-12755641.html
2024-06-26 10:28:00,Sharekhan,Amara Raja Energy & Mobility,ARE&M,Buy,1401.0,1967,1406.9,Not reached yet.,73.67119901112486,24.218612043086722,https://www.moneycontrol.com/news/business/earnings/buy-amara-raja-energy-target-of-rs-1967-sharekhan-12756396.html
2024-06-27 11:26:00,Khambatta Securities,Pune E-Stock Broking,,Buy,,230,,,,,https://www.moneycontrol.com/news/business/stocks/buy-pune-e-stock-broking-target-of-rs-230-khambatta-securities-12757233.html
2024-06-27 11:50:00,Asit C Mehta,PG Electroplast Ltd,PGEL,Accumulate,320.65,4120,611.05,Not reached yet.,1994.8797478008848,210.69812376061427,https://www.moneycontrol.com/news/business/stocks/accumulate-pg-electroplast-ltd-target-of-rs-4120-asit-c-mehta-12757257.html
2024-06-27 12:03:00,Motilal Oswal,Cipla,CIPLA,Buy,1541.55,1700,1595.75,Not reached yet.,25.11039152193112,17.43818074771858,https://www.moneycontrol.com/news/business/stocks/buy-cipla-target-of-rs-1700-motilal-oswal-12757287.html
2024-06-27 12:18:00,Motilal Oswal,Hindustan Unilever,HINDUNILVR,Buy,2441.3,2900,2783.2,84,24.69632145851697,19.674069614946347,https://www.moneycontrol.com/news/business/stocks/buy-hindustan-unilever-target-of-rs-2900-motilal-oswal-4-12757307.html
2024-06-27 12:24:00,Sharekhan,Granules India,GRANULES,Buy,490.65,600,603.85,57,53.0221882172915,54.004080591685785,https://www.moneycontrol.com/news/business/stocks/buy-granules-india-target-of-rs-600-sharekhan-12757325.html
